𠻺	aː⁶
㝞	aː¹
䃁	aː¹
䢝	aː³
㰳	aː¹
㰳	aː³
AA制	ei¹ ei¹ tsɐi³
㙠	aːi³
㞒	aːi³
㥷	aːi³
㢊	aːi²
㗨	aːi²
㗨	hɐi⁶
㶭	aːi²
㶭	ɐi¹
㶭	tsaːu²
㵧	aːi³
㵧	kɔːt⁸
䝈	aːk⁷
䝈	ɐk⁷
䠎	aːk⁷
䠎	ɐk⁷
䮸	aːk⁷
䮸	ɐk⁷
䧄	aːk⁷
䧄	kɔːk⁸
㧖	aːk⁷
㧖	ɐk⁷
㧖	tsiːm¹
䄅	aː¹
䄅	kyːn³
𠮩	aː¹
𠮩	liːu¹
㛺	aːm¹
䅖	aːm¹
䉏	aːm²
䉏	hɐi⁶
㿄	aːm³
㿄	ɐi³
䬓	aːm³
䬓	kʰaːu¹
㛪	aːm¹
㛪	hiːm¹
㛪	kiːm¹
㛪	tsiːm¹
䨄	aːm¹
䨄	ɐn³
䳺	aːm¹
䳺	ɐn³
㞄	aːm¹
㞄	ɐn²
䎨	aːm³
䎨	tsiːm¹
䤷	aːm¹
䤷	tsiːm²
㽢	aːm²
㽢	ɐu²
㽢	ɐu³
㽢	tsiːp⁹
䓨	aːŋ¹
䞷	aːŋ¹
䞷	faːt⁷
䞷	kwaːt⁹
㔩	aːp⁹
䳬	aː³
䳬	fɔːŋ²
䳬	kei³
䳬	piːt⁸
䳬	tʰou⁴
䳬	tsiːm²
䳬	tsɪk⁹
䅉	aː³
䅉	tsiː²
䁱	aːu¹
䉱	aːu¹
䌂	aːu³
䌔	aːu³
䥲	aːu¹
䳼	aːu¹
䉩	aːu¹
䜣	aːu¹
䜣	aːu²
䜣	tsaːn¹
䜣	tsiːn¹
䜣	waː⁶
㔚	aːu²
㔚	haːu²
㺫	aːu³
㺫	kʰaːu⁴
䙔	aːu¹
䙔	tsaːu¹
䙔	tsɐt⁸
䙔	tsiːm²
䢕	aːu¹
䢕	tsʊk⁷
䢕	tsʊŋ²
BB	piː¹ piː¹
BB仔	piː⁴ piː¹ tsɐi²
BB機	piː¹ piː¹ kei¹
BB車	piː⁴ piː¹ tsʰɛː¹
book	pʊk⁷
book位	pʊk⁷ wɐi²
book唔到位	pʊk⁷ m̩⁴ tou² wɐi²
book機票	pʊk⁷ kei¹ pʰiːu³
book酒店	pʊk⁷ tsɐu² tiːm³
caim	kʰɛːm¹
caim保險	kʰɛːm¹ pou² hiːm²
caim稅	kʰɛːm¹ sɵy³
call	kʰɔː¹
call人	kʰɔː¹ jɐn⁴
call台	kʰɔː¹ tʰɔːi⁴
call機	kʰɔː¹ kei¹
call機肉	kʰɔː¹ kei¹ jʊk⁹
call白車	kʰɔː¹ paːk⁹ tsʰɛː¹
call車	kʰɔː¹ tsʰɛː¹
cancer	kʰɛːn¹ saː²
case	kʰei¹ siː²
cash	kʰɛː¹ syː⁴
cheap	tsʰiːp⁷
cheap嘢	tsʰiːp⁷ jɛː⁵
cheap精	tsʰiːp⁷ tsɪŋ¹
check	tsʰɛːk⁷
check吓	tsʰɛːk⁷ haː⁵
CIB	siː¹ ɐi¹ piː¹
claim	kʰɛːm¹
claim保險	kʰɛːm¹ pou² hiːm²
claim稅	kʰɛːm¹ sɵy³
click	kʰɪk⁷
click入去	kʰɪk⁷ jɐp⁹ hɵy³
cool	kʰuː¹
cute	kʰiːu¹
cut	kʰɐt⁷
encore	ɛːn¹ kʰɔː¹
𡃀	ɛː⁴
𡃀	ŋɛː⁴
㖡	ɛː⁶
㖡	tsɛː⁶
㳸	faː¹
facial	fei¹ sou⁴
𫂈	faːi³
㙕	faːi³
㩌	faːi³
䈛	faːi³
䠊	faːi⁴
䆏	faːi³
䆏	faːn⁵
㺔	faːi¹
㺔	hɔːi⁶
䘗	faːi¹
䘗	kwaːn²
䘗	pʰuːi³
䀟	faːi³
䀟	maːn⁵
㻗	faːi²
㻗	pʰuːi⁵
㕒	faːi¹
㕒	waːi⁴
㕒	waːi⁶
𧶶	faːn³
𠆩	faːn²
𨠒	faːn⁵
㕨	faːn⁶
㖧	faːn¹
䪛	faːn¹
㠶	faːn⁴
㤆	faːn²
㮥	faːn⁵
㸋	faːn⁴
䊩	faːn⁴
䋣	faːn⁴
䋦	faːn⁴
䡊	faːn²
䪤	faːn⁴
䭵	faːn⁴
䮳	faːn⁴
㷊	faːn⁴
㷊	faːn⁵
㿎	faːn⁴
㿎	faːn⁵
㿎	kɐk⁸
䚩	faːn⁴
䚩	hiːu¹
䚩	kʰiːu⁴
䚩	tsiːu⁴
䴊	faːn³
䴊	kɔːn¹
䴊	tsiː⁴
䴊	tsiː⁵
fans	fɛːn¹ siː²
䗼	faːn¹
䗼	waːt⁷
𠵽	faːt⁸
㚕	faːt⁷
㛲	faːt⁸
㪄	faːt⁷
㳷	faːt⁷
䀜	faːt⁷
䂲	faːt⁸
䩐	faːt⁷
䩐	kaːp⁷
䪀	faːt⁷
䪀	kuːn²
䪀	tsyːn²
䪀	wuːn²
䘠	faːt⁷
䘠	kʰuːt⁸
㪂	faːt⁷
㪂	kwaːt⁹
㵠	faːt⁷
㵠	kwaːt⁹
䘿	faːt⁷
䘿	kwaːt⁹
䞞	faːt⁷
䞞	maːn⁵
䊖	faːt⁷
䊖	nɐm⁵
㩛	faː¹
㩛	tʰyːn⁴
㰴	faːu²
䬏	faːu²
䍖	faːu⁴
䍖	fuː¹
䳝	faːu²
䳝	fuː²
䳕	faːu⁴
䳕	fuː¹
䳕	mɐn⁵
䳕	wuːi⁶
㕻	faːu²
㕻	fuː³
㕻	tʰaːu³
䯠	faːu²
䯠	ou²
䯠	pʰei³
䯠	tsʊk⁷
䘀	faːu⁶
䘀	waːi³
fax	fɛːt⁷ siː²
feel	fiːu¹
㹃	fei²
㹃	fɛː³
㹃	hɛː³
㫵	fei¹
䤵	fei¹
䩁	fei¹
䬠	fei¹
㥱	fei²
䈈	fei⁴
䨾	fei²
fell	fiːu¹
㔞	fɐi³
㙗	fɐi³
㚍	fɐi³
㧑	fɐi¹
㫎	fɐi¹
㵒	fɐi³
㹆	fɐi¹
㾱	fɐi³
䑔	fɐi³
䕠	fɐi³
䚨	fɐi³
䛍	fɐi³
䰁	fɐi³
䶐	fɐi³
㟴	fɐi³
㟴	fɐn⁴
㟴	fɐn⁶
䘦	fɐi³
䘦	nei⁴
䘦	tsyː⁴
fing	fɪŋ⁶
㝕	fɐi³
㝕	nɪŋ⁴
𢝵	fiːt⁷
𢞵	fiːt⁷
fit	fiːt⁷
㙏	fʊk⁷
㠅	fʊk⁷
䋹	fʊk⁷
䌿	fʊk⁷
䕎	fʊk⁷
䟮	fʊk⁹
䨱	fʊk⁹
䫝	fʊk⁷
䵗	fʊk⁹
㚆	fʊk⁹
𠱥	fɪk⁷
𠱥	jiːt⁹
𠱥	wɛː⁵
㨇	fʊk⁹
㨇	pʰɔː⁴
㨇	pʰuːn⁴
㬼	fʊk⁹
㬼	wɐk⁹
𤑕	fɐn¹
𫄸	fɐn¹
㛰	fɐn¹
㞣	fɐn¹
㤋	fɐn¹
㯣	fɐn¹
㱵	fɐn³
㴀	fɐn⁶
㽹	fɐn³
䌲	fɐn¹
䎜	fɐn¹
䙧	fɐn¹
䭻	fɐn¹
䵫	fɐn¹
㸮	fɐn⁴
䉒	fɐn⁴
䫶	fɐn⁴
䴅	fɐn⁴
㶗	fɐn⁴
㶗	fɐn⁶
䉊	fɐn⁴
䉊	fɐn⁶
䛀	fɐn²
䀀	fɐn³
䀀	fɐn⁴
䀀	fɐn⁶
䬚	fɐn³
䬚	fɐn⁴
䬚	kʰaːu¹
㐽	fʊŋ¹
㛔	fʊŋ¹
㜂	fʊŋ¹
㡝	fʊŋ⁶
㷭	fʊŋ¹
㸼	fʊŋ¹
䀱	fʊŋ¹
䒠	fʊŋ¹
䗦	fʊŋ¹
䗬	fʊŋ¹
䵄	fʊŋ¹
㦀	fʊŋ⁴
㬴	fʊŋ²
㵯	fʊŋ⁴
䀧	fʊŋ²
䙜	fʊŋ⁴
䟪	fʊŋ²
䩼	fʊŋ⁴
䏎	fʊŋ⁴
䏎	hɔːn⁶
㒥	fʊŋ¹
㒥	kaːm²
㠦	fʊŋ¹
㠦	haːt⁹
㠦	kaːm³
㓩	fɐn³
㓩	hiːn²
㓩	hyːn¹
㾜	fɐn²
㾜	hiːp⁸
㾜	kʰœːk⁸
㾜	kʰɵy¹
㱪	fɐn¹
㱪	muːn⁶
䑺	fɐn⁴
䑺	pʰɔː⁴
䑺	pʰuːn⁴
㾧	fɔː³
䆼	fɔː¹
䌀	fɔː¹
㪙	fɔː²
㶡	fɔː²
䈖	fɔː¹
䈖	fɔː³
䈖	tʰiːu³
㸌	fɔːk⁸
㸕	fɔːk⁸
㸯	fɔː¹
㸯	kaːu¹
䡰	fɔːk⁸
䡰	hʊk⁹
䡰	kʰɵy⁴
䡰	kʊk⁷
䦆	fɔːk⁸
䦆	mɔːŋ⁴
㚌	fɔː²
㚌	lɔː²
㠩	fɔːŋ¹
㠵	fɔːŋ¹
㡃	fɔːŋ¹
㡆	fɔːŋ¹
㵁	fɔːŋ¹
䀮	fɔːŋ¹
䂄	fɔːŋ³
䄱	fɔːŋ¹
㕫	fɔːŋ²
㧍	fɔːŋ²
㨪	fɔːŋ²
䁜	fɔːŋ²
䌙	fɔːŋ²
䢍	fɔːŋ²
㤃	fɔːŋ¹
㤃	fɔːŋ⁴
䲱	fɔːŋ²
䲱	fɔːŋ⁴
㱂	fɔːŋ¹
㱂	hɔːŋ¹
䄰	fɔːŋ²
䄰	ŋaː⁴
㑂	fɔːŋ²
㑂	pʰɔːŋ⁴
㤺	fɔːŋ²
㤺	wɔːk⁹
䍫	fɔː¹
䍫	tʰɔː⁴
foul	fɐu¹
foul出局	fɐu¹ tsʰɵt⁷ kʊk⁹
䆧	fɔː²
䆧	wɔː¹
friend	fɛːn¹
friend過打band	fɛːn¹ kwɔː³ taː² pɛːn¹
𦡆	fɐt⁷
㕹	fɐt⁹
㗵	fɐt⁷
㘺	fɐt⁹
㦌	fɐt⁷
㧾	fɐt⁷
㫚	fɐt⁷
䇅	fɐt⁹
䓤	fɐt⁷
䝆	fɐt⁷
䣹	fɐt⁹
䨚	fɐt⁷
䬍	fɐt⁷
䴯	fɐt⁷
㦟	fɐt⁸
㦟	mɐi⁴
𧌓	fɐu⁶
𫓧	fuː¹
㓬	fuː¹
㟊	fuː¹
㤔	fuː⁶
㤱	fuː³
㦆	fuː¹
㩤	fuː¹
㱠	fuː¹
㳇	fuː⁶
㽬	fuː³
㾈	fuː⁶
䂤	fuː⁶
䄮	fuː¹
䉐	fuː¹
䊿	fuː¹
䎍	fuː¹
䎔	fuː¹
䑧	fuː¹
䒄	fuː³
䞜	fuː⁶
䞸	fuː⁶
䟔	fuː⁶
䨗	fuː¹
䭸	fuː⁶
䮛	fuː⁶
䴣	fuː¹
䴸	fuː¹
㓡	fuː²
㕮	fuː²
㫙	fuː⁴
㷆	fuː⁵
䇢	fuː²
䌗	fuː²
䗂	fuː²
䫍	fuː²
䵾	fuː⁴
㲗	fuː¹
㲗	fuː³
䋨	fuː²
䋨	fuː³
䝾	fuː²
䝾	fuː³
䩉	fuː²
䩉	fuː⁶
䗄	fuː²
䗄	fuː⁶
䗄	kuː²
䔰	fuː¹
䔰	fuː³
䔰	pʰei³
䃿	fuː¹
䃿	haː¹
𠧩	fuːi³
㞀	fuːi¹
㨒	fuːi¹
㷇	fuːi¹
㾯	fuːi¹
㑰	fuːi⁴
㬢	fuːi¹
㬢	hei¹
䟩	fuːi¹
䟩	hɐi⁶
䟩	kʰœːk⁸
䟩	kɵy³
䵋	fuːi²
䵋	kʰuːi²
䖯	fuːi¹
䖯	kʰwaːi¹
䝇	fuːi¹
䝇	kʰuːt⁸
䝇	kwɐi³
䂕	fuːi³
䂕	ŋaːt⁹
㚝	fuːi¹
㚝	tʰɵy⁴
㚝	waːi²
㠸	fuː³
㠸	kuː¹
㭪	fuː¹
㭪	kuː¹
䠵	fuː⁶
䠵	kʰwaːi¹
䠵	waː¹
㐻	fuː¹
