A	ʔaː
AIDS	ʔɛɪʦ
Aachen	ʔaːxən
Aal	ʔaːl
Aale	ʔaːlə
Aalen	ʔaːlən
Aales	ʔaːləs
Aals	ʔaːls
Aalst	ʔaːlst
Aar	ʔaːʀ
Aarau	ʔaːʀaʊ
Aare	ʔaːʀə
Aaren	ʔaːʀən
Aares	ʔaːʀəs
Aargau	ʔaːʀɡaʊ
Aars	ʔaːʀs
Aas	ʔaːs
Aase	ʔaːzə
Aasen	ʔaːzən
Aases	ʔaːzəs
Abacus	ʔaːbakʊs
Abaka	ʔaˈbaːkaː
Abakan	ʔabaˈkaːn
Abakus	ʔaːbakʊs
Abandon	ʔabanˈdɔ̃ː
Abandons	ʔabanˈdɔ̃ːs
Abarten	ʔapʔaːʀtən
Abartung	ʔapʔaːʀtʊŋ
Abartungen	ʔapʔaːʀtʊŋən
Abasie	ʔabaˈziː
Abasien	ʔabaˈziːən
Abaziskus	ʔabaˈʦɪskʊs
Abazissus	ʔabaˈʦɪsʊs
Abbadona	ʔabaˈdoːnaː
Abbas	ʔaˈbaːs
Abbaside	ʔabaˈziːdə
Abbasiden	ʔabaˈziːdən
Abbate	ʔaˈbaːtə
Abbaten	ʔaˈbaːtən
Abbestellung	ʔapbəˌʃtɛlʊŋ
Abbestellungen	ʔapbəˌʃtɛlʊŋən
Abbreviation	ʔabʀevjaˈʦjoːn
Abbreviationen	ʔabʀevjaˈʦjoːnən
Abbreviatur	ʔabʀevjaˈtuːʀ
Abbreviaturen	ʔabʀevjaˈtuːʀən
Abbrändler	ʔapbʀɛndləʀ
Abbröckelung	ʔapbʀœkəlʊŋ
Abbrüche	ʔapbʀʏçə
Abbud	ʔaˈbuːt
Abbé	ʔaˈbeː
Abc	ʔaːbeːˈʦeː
Abdachung	ʔapdaxʊŋ
Abdachungen	ʔapdaxʊŋən
Abdeckerei	ʔapdɛkəˈʀaɪ
Abdeckereien	ʔapdɛkəˈʀaɪən
Abdera	ʔapˈdeːʀaː
Abderit	ʔapdeˈʀiːt
Abderiten	ʔapdeˈʀiːtən
